itter,avg,del
84.500000,0,254.968491
1.364243,50,254.410797
0.746231,100,254.122116
0.541229,150,253.899292
0.443115,200,253.711060
0.378937,250,253.544647
0.332794,300,253.393295
0.297607,350,253.252838
0.269684,400,253.120605
0.246979,450,252.994629
0.227875,500,252.873764
0.211609,550,252.756927
0.197510,600,252.643433
0.185211,650,252.532776
0.174377,700,252.424500
0.165039,750,252.318298
0.157639,800,252.213928
0.150833,850,252.111115
0.144577,900,252.009689
0.138870,950,251.909592
0.133606,1000,251.810638
0.128662,1050,251.712692
0.124115,1100,251.615646
0.119827,1150,251.519501
0.115829,1200,251.424118
0.112076,1250,251.329437
0.108536,1300,251.235443
0.105209,1350,251.142059
0.102081,1400,251.049179
0.099091,1450,250.956848
0.096268,1500,250.864990
0.093597,1550,250.773605
0.091034,1600,250.682617
0.088654,1650,250.592010
0.086365,1700,250.501755
0.084152,1750,250.411804
0.082123,1800,250.322205
0.080124,1850,250.232834
0.078217,1900,250.143768
0.076401,1950,250.054962
0.074692,2000,249.966309
0.073013,2050,249.877869
0.071457,2100,249.789642
0.069946,2150,249.701584
0.068497,2200,249.613693
0.067123,2250,249.525925
0.065781,2300,249.438324
0.064499,2350,249.350815
0.063263,2400,249.263397
0.062057,2450,249.176117
0.060928,2500,249.088928
0.059830,2550,249.001862
0.058807,2600,248.914795
0.057770,2650,248.827805
0.056808,2700,248.740906
0.055878,2750,248.654022
0.054947,2800,248.567230
0.054092,2850,248.480469
0.053223,2900,248.393677
0.052399,2950,248.307007
0.051620,3000,248.220322
0.050858,3050,248.133652
0.050110,3100,248.046997
0.049393,3150,247.960358
