itter,avg,del
84.500000,0,254.968506
1.364243,50,254.410767
0.746231,100,254.122070
0.541229,150,253.899261
0.443115,200,253.711044
0.378937,250,253.544662
0.332794,300,253.393311
0.297607,350,253.252869
0.269684,400,253.120575
0.246979,450,252.994659
0.227875,500,252.873749
0.211609,550,252.756897
0.197510,600,252.643433
0.185211,650,252.532761
0.174377,700,252.424484
0.165039,750,252.318329
0.157639,800,252.213913
0.150833,850,252.111130
0.144577,900,252.009750
0.138870,950,251.909607
0.133606,1000,251.810638
0.128662,1050,251.712677
0.124115,1100,251.615646
0.119827,1150,251.519470
0.115829,1200,251.424118
0.112076,1250,251.329437
0.108536,1300,251.235413
0.105209,1350,251.142014
0.102081,1400,251.049179
0.099091,1450,250.956833
0.096268,1500,250.865021
0.093597,1550,250.773605
0.091034,1600,250.682617
0.088654,1650,250.592041
0.086365,1700,250.501755
0.084152,1750,250.411835
0.082123,1800,250.322205
0.080124,1850,250.232880
0.078217,1900,250.143784
0.076401,1950,250.054932
0.074692,2000,249.966309
0.073013,2050,249.877899
0.071457,2100,249.789642
0.069946,2150,249.701584
0.068497,2200,249.613647
0.067123,2250,249.525925
0.065781,2300,249.438324
0.064499,2350,249.350815
0.063263,2400,249.263412
0.062057,2450,249.176117
0.060928,2500,249.088928
0.059830,2550,249.001831
0.058807,2600,248.914780
0.057770,2650,248.827820
0.056808,2700,248.740906
0.055878,2750,248.654053
0.054947,2800,248.567245
0.054092,2850,248.480453
0.053223,2900,248.393723
0.052399,2950,248.307007
0.051620,3000,248.220306
0.050858,3050,248.133667
0.050110,3100,248.046982
0.049393,3150,247.960358
